Collection Unique ID,Suborder,Family,Species name,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),North_America
38898,Anisoptera,Aeshnidae,Aeshna constricta,352.392,469.641,40.471,41.127,40.746,41.423,10.943,14.118,11.642,15.177,0.561558442,0.269800715,-0.007669698,-0.148836124,0.569090909,0.640167364,113.4583848,103.9847235,47.244,TRUE
38895,Anisoptera,Aeshnidae,Aeshna constricta,400.374,474.634,44.323,41.677,44.598,42.037,11.536,14.076,12.298,15.282,0.588039867,0.206445116,0.018584363,-0.14961188,0.647160069,0.62465374,108.9453546,105.2375351,47.244,TRUE
22040,Anisoptera,Aeshnidae,Aeshna constricta,374.605,495.236,42.651,42.99,43.265,44.196,10.901,14.266,11.875,15.706,0.563600783,0.237547893,0.017513825,-0.128126658,0.59714795,0.626684636,115.2167539,104.6070171,47.244,TRUE
22026,Anisoptera,Aeshnidae,Aeshna constricta,391.21,494.874,43.18,41.36,44.302,43.032,11.367,14.351,12.298,15.917,0.605351171,0.240531235,0.032127349,-0.117583347,0.595524957,0.599734043,114.7498189,106.7628806,47.244,TRUE
39650,Anisoptera,Aeshnidae,Aeshna eremita,390.933,421.696,46.376,42.968,46.461,45.17,10.626,12.15,11.43,13.695,0.590888383,0.535145267,0.020594302,0.002334606,0.605555556,0.579598145,117.218114,109.9070933,47.244,TRUE
37243,Anisoptera,Aeshnidae,Aeshna eremita,359.374,467.977,43.265,42.101,43.265,42.63,10.774,13.695,11.472,15.325,0.602250489,0.294935452,0.036201826,-0.110285038,0.614391144,0.654696133,111.0411889,103.7304794,47.244,TRUE
39651,Anisoptera,Aeshnidae,Aeshna eremita,396.246,512.443,45,44.873,46.419,45.699,10.837,13.801,11.557,15.177,0.633834929,0.329319129,0.033370091,-0.107959427,0.58974359,0.648535565,116.4225691,108.6756868,47.244,TRUE
20798,Anisoptera,Aeshnidae,Aeshna eremita,402.091,513.823,46.567,45.762,47.498,46.44,10.478,13.631,11.367,14.838,0.543226382,0.219690064,0.022468082,-0.140261782,0.567970205,0.624821683,117.7268641,110.115097,47.244,TRUE
WRK-WS-02515,Anisoptera,Aeshnidae,Aeshna eremita,416.795,514.537,46.694,44.556,47.159,45.752,11.229,13.981,12.033,15.293,0.546454219,0.273189914,0.016259703,-0.123848721,0.587510994,0.620761246,115.8624494,103.5999276,94.488,TRUE
WRK-WS-02521,Anisoptera,Aeshnidae,Aeshna eremita,427.805,549.063,47.583,46.006,47.837,46.958,10.986,14.499,11.853,15.843,0.574778761,0.233716475,0.012515216,-0.133305767,0.579464286,0.61990648,116.2339285,104.0154719,94.488,TRUE
WRK-WS-02522,Anisoptera,Aeshnidae,Aeshna eremita,416.948,520.299,47.17,45.974,47.826,47.403,10.922,13.801,11.769,16.129,0.613852622,0.201830766,0.018899165,-0.117565974,0.574640288,0.56824147,110.5460303,100.2272498,94.488,TRUE
WRK-WS-02525,Anisoptera,Aeshnidae,Aeshna eremita,390.752,503.71,46.069,44.545,46.493,45.942,10.573,13.885,11.578,16.224,0.567721375,0.24994241,0.01345747,-0.13247667,0.610603291,0.594259622,114.950788,77.45301468,94.488,TRUE
39648,Anisoptera,Aeshnidae,Aeshna interrupta,434.468,571.183,45.932,44.471,47.117,45.403,11.959,15.706,12.827,17.082,0.597484277,0.267599068,0.036809985,-0.15396857,0.603960396,0.639405205,115.3886148,104.6225452,47.244,TRUE
38922,Anisoptera,Aeshnidae,Aeshna interrupta,401.675,530.588,43.857,43.646,44.027,44.746,11.557,14.753,12.319,16.362,0.564903846,0.274834437,0.011196341,-0.124379127,0.587628866,0.615782665,114.6207768,106.0317512,47.244,TRUE
42144,Anisoptera,Aeshnidae,Aeshna interrupta,404.49,539.51,44.238,44.344,45.551,45.36,11.24,14.796,11.959,16.235,0.521375465,0.231451237,0.011059699,-0.153239399,0.559292035,0.624511082,110.0073142,103.6100545,47.244,TRUE
41937,Anisoptera,Aeshnidae,Aeshna interrupta,438.767,587.829,46.863,45.911,47.456,46.778,11.896,15.812,12.552,17.463,0.574933096,0.280542986,0.02063098,-0.144820494,0.556492412,0.631515152,114.4253935,103.390501,47.244,TRUE
38919,Anisoptera,Aeshnidae,Aeshna interrupta,396.999,537.448,43.286,44.048,44.619,45.085,11.599,14.817,12.488,16.658,0.558823529,0.301408451,0.024498849,-0.132337695,0.615254237,0.616264295,114.9947682,102.3757713,47.244,TRUE
36578,Anisoptera,Aeshnidae,Aeshna interrupta,428.478,559.421,45.593,44.302,46.905,46.207,11.769,15.261,12.594,16.616,0.56498195,0.284470912,0.039813227,-0.104817343,0.591596639,0.621656051,115.5573783,108.5795901,47.244,TRUE
38927,Anisoptera,Aeshnidae,Aeshna interrupta,405.545,556.999,42.863,44.916,43.328,45.508,11.811,15.007,12.7,16.298,0.575476307,0.222325581,0.001122073,-0.129266244,0.585,0.590909091,112.747699,104.4410439,47.244,TRUE
22022,Anisoptera,Aeshnidae,Aeshna interrupta,372.973,470.2,44.45,43.434,44.725,44.831,10.414,13.462,11.388,14.774,0.542356839,0.232294618,-0.003430152,-0.11275937,0.617100372,0.654727794,111.8398979,103.2580655,47.244,TRUE
25826,Anisoptera,Aeshnidae,Aeshna interrupta,420.167,534.741,46.927,46.8,47.159,47.181,11.155,14.245,12.192,15.6,0.526032316,0.173171826,-0.004354684,-0.143682299,0.605902778,0.647218453,112.667609,102.368853,47.244,TRUE
22015,Anisoptera,Aeshnidae,Aeshna interrupta,373.489,475.732,43.519,43.392,44.133,44.323,10.626,13.483,11.409,14.626,0.568345324,0.271728749,0.003085862,-0.106451419,0.58812616,0.629522431,115.4519868,104.7878111,47.244,TRUE
28027,Anisoptera,Aeshnidae,Aeshna interrupta,418.022,543.906,46.821,45.403,47.286,46.228,11.261,14.499,12.065,15.685,0.566248881,0.261904762,0.01950809,-0.148050171,0.589473684,0.615384615,115.066615,107.5184233,47.244,TRUE
39680,Anisoptera,Aeshnidae,Aeshna juncea,337.794,435.155,41.593,39.92,41.698,40.619,10.435,13.081,11.24,14.965,0.583756345,0.342365816,0.046247519,-0.10601823,0.600753296,0.595473833,118.7618805,108.9976043,47.244,TRUE
38920,Anisoptera,Aeshnidae,Aeshna juncea,280.28,355.639,37.931,36.534,37.994,36.872,9.44,11.748,9.97,13.208,0.61448468,0.396096441,0.025102665,-0.116099477,0.549893843,0.639423077,114.5706521,108.937146,47.244,TRUE
38905,Anisoptera,Aeshnidae,Aeshna juncea,315.047,421.081,40.069,39.074,40.407,39.878,10.202,12.7,10.732,14.012,0.623886852,0.337579618,0.055908755,-0.106737883,0.544378698,0.593655589,119.8103509,113.1210446,47.244,TRUE
48092,Anisoptera,Aeshnidae,Aeshna juncea,324.077,429.06,41.825,40.174,42.376,40.979,10.16,12.615,10.732,13.97,0.598901099,0.305785124,0.064521252,-0.117698875,0.526627219,0.616666667,115.2258103,110.5056741,47.244,TRUE
38913,Anisoptera,Aeshnidae,Aeshna juncea,317.952,403.774,39.815,38.947,40.746,40.217,10.181,12.467,10.859,13.78,0.59948052,0.252631579,0.044883137,-0.086301184,0.619883041,0.623655914,121.0320389,111.2030042,47.244,TRUE
WRK-WS-02508,Anisoptera,Aeshnidae,Aeshna juncea,349.81,459.244,42.82,41.032,43.773,43.18,10.372,13.145,10.933,15.229,0.592359768,0.472058824,0.041897354,-0.069475787,0.54017425,0.566365532,113.7733518,108.924529,94.488,TRUE
