Suborder,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW
Anisoptera,372.973,470.2,44.45,43.434,44.725,44.831,10.414,13.462,11.388,14.774,0.542356839,0.232294618,-0.003430152,-0.11275937
Anisoptera,420.167,534.741,46.927,46.8,47.159,47.181,11.155,14.245,12.192,15.6,0.526032316,0.173171826,-0.004354684,-0.143682299
Anisoptera,373.489,475.732,43.519,43.392,44.133,44.323,10.626,13.483,11.409,14.626,0.568345324,0.271728749,0.003085862,-0.106451419
Anisoptera,418.022,543.906,46.821,45.403,47.286,46.228,11.261,14.499,12.065,15.685,0.566248881,0.261904762,0.01950809,-0.148050171
Anisoptera,337.794,435.155,41.593,39.92,41.698,40.619,10.435,13.081,11.24,14.965,0.583756345,0.342365816,0.046247519,-0.10601823
Anisoptera,280.28,355.639,37.931,36.534,37.994,36.872,9.44,11.748,9.97,13.208,0.61448468,0.396096441,0.025102665,-0.116099477
Anisoptera,315.047,421.081,40.069,39.074,40.407,39.878,10.202,12.7,10.732,14.012,0.623886852,0.337579618,0.055908755,-0.106737883
Anisoptera,324.077,429.06,41.825,40.174,42.376,40.979,10.16,12.615,10.732,13.97,0.598901099,0.305785124,0.064521252,-0.117698875
Anisoptera,317.952,403.774,39.815,38.947,40.746,40.217,10.181,12.467,10.859,13.78,0.59948052,0.252631579,0.044883137,-0.086301184
Anisoptera,349.81,459.244,42.82,41.032,43.773,43.18,10.372,13.145,10.933,15.229,0.592359768,0.472058824,0.041897354,-0.069475787
Anisoptera,323.882,420.457,41.159,38.597,41.91,41.053,10.001,12.954,10.647,15.092,0.60959596,0.33384893,0.026165471,-0.076614133
Anisoptera,311.517,418.193,40.619,38.746,41.148,39.952,9.705,13.06,10.319,14.552,0.585390947,0.335099338,0.041300717,-0.093702436
Anisoptera,304.849,381.744,40.471,39.243,40.555,40.132,9.631,11.726,10.245,12.467,0.605427975,0.24314346,0.025165508,-0.112537025
Anisoptera,293.157,357.002,39.836,38.545,40.09,39.688,8.805,11.028,9.589,12.044,0.581837381,0.223466667,-0.006136709,-0.111790725
Anisoptera,354.425,441.019,43.688,41.868,43.773,42.439,9.927,12.764,10.88,13.801,0.585589942,0.181546135,0.011007745,-0.127123931
Anisoptera,296.34,393.888,39.254,38.365,40.1,39.624,9.25,12.171,10.054,14.086,0.577988915,0.259615385,0.031534528,-0.112811692
Anisoptera,351.766,467.453,43.847,42.196,44.376,44.238,9.895,13.155,10.806,15.219,0.538278083,0.23492823,0.018054356,-0.095435877
Anisoptera,336.964,445.507,42.048,40.756,42.99,42.397,9.864,13.039,10.647,14.478,0.552437223,0.263105342,0.030628168,-0.096437815
Anisoptera,347.973,447.604,43.879,42.175,44.662,43.762,9.758,12.404,10.552,14.182,0.594549763,0.218137848,0.029779642,-0.089489117
Anisoptera,303.47,394.384,40.375,37.783,41.18,40.312,9.377,12.34,10.213,13.547,0.580056541,0.248621686,0.035341766,-0.080137547
Anisoptera,321.972,422.399,40.513,39.031,41.698,41.233,9.927,12.742,10.88,14.923,0.587817259,0.322895277,0.044509408,-0.040242752
Anisoptera,327.01,421.522,42.111,40.27,42.767,41.222,9.705,12.51,10.488,14.171,0.577827271,0.272913992,0.029530322,-0.118113286
Anisoptera,339.315,439.647,41.995,40.375,42.545,41.656,10.107,12.795,11.113,14.7,0.615174129,0.179115854,0.030868565,-0.110900527
Anisoptera,319.063,419.3,41.571,39.719,42.471,41.656,9.578,12.499,10.287,14.383,0.568901072,0.258892276,0.042849441,-0.083841135
Anisoptera,348.104,449.285,43.371,41.18,43.974,43.17,9.948,13.007,10.615,14.51,0.614921781,0.295660701,0.026608514,-0.090957743
Anisoptera,345.599,436.325,43.402,41.349,44.175,42.386,9.853,12.478,10.552,13.663,0.615237183,0.240449438,0.034863746,-0.116731675
Anisoptera,347.062,439.175,42.418,40.883,43.487,42.545,10.202,12.7,10.869,14.256,0.633487467,0.294278607,0.051829127,-0.098565035
Anisoptera,366.773,480.031,42.312,40.704,42.566,41.698,11.197,14.118,11.748,15.6,0.616608652,0.283248731,0.050464723,-0.115637319
Anisoptera,365.153,490.7,42.545,42.037,42.905,43.857,10.88,14.605,11.515,16.193,0.61174149,0.277027027,0.026091973,-0.076187812
Anisoptera,379.415,487.174,43.752,42.016,43.773,42.355,11.091,14.415,11.98,15.875,0.609284333,0.253373313,0.028361726,-0.126801519
Anisoptera,357.859,476.996,41.783,42.312,42.206,42.778,10.837,14.457,11.515,15.706,0.589267803,0.270163286,0.027250645,-0.114403838
Anisoptera,392.473,502.049,44.535,43.646,44.746,45.191,11.197,14.33,11.959,15.473,0.598391675,0.296487119,0.007181522,-0.076145058
Anisoptera,389.081,511.175,44.344,43.18,44.535,43.984,10.964,14.605,11.79,15.79,0.609315589,0.220404235,0.026014222,-0.148085792
Anisoptera,389.935,502.281,44.535,42.101,44.725,43.561,10.964,14.563,11.917,15.388,0.577851396,0.239067055,0.022389175,-0.159857865
Anisoptera,360.56,490.212,42.524,41.254,42.99,43.244,10.626,14.224,11.282,15.621,0.615460364,0.266275086,0.029810397,-0.115980107
Anisoptera,381.111,492.823,43.222,41.698,43.413,43.476,11.176,14.182,11.79,15.452,0.573866407,0.248296008,0.009676279,-0.130045729
Anisoptera,379.236,491.467,43.984,42.333,44.027,43.371,10.816,14.457,11.642,15.833,0.570192308,0.270863836,0.016626542,-0.122698761
Anisoptera,393.775,497.607,45.17,43.032,45.233,43.688,11.049,14.584,11.959,16.002,0.585400094,0.274224806,0.027932113,-0.133551571
Anisoptera,354.296,470.271,43.138,41.995,43.18,43.413,10.287,13.674,11.049,15.134,0.569607843,0.280838615,0.012282215,-0.111666412
Anisoptera,483.541,652.225,52.049,49.89,52.62,50.779,11.811,15.748,12.467,17.018,0.567578439,0.197165486,0.050390159,-0.146960187
Anisoptera,472.605,631.417,50.144,49.34,50.419,50.694,11.896,15.833,12.785,17.187,0.539882452,0.315240084,0.018135251,-0.096530538
Anisoptera,511.396,661.233,51.435,49.699,51.88,51.393,12.446,15.875,13.399,17.399,0.570379437,0.272652389,0.015737917,-0.114472071
Anisoptera,476.138,624.503,49.699,49.149,49.784,50.102,12.277,15.536,13.102,16.764,0.583333333,0.299535277,0.032313364,-0.112669746
Anisoptera,448.068,603.628,50.102,47.498,50.229,48.429,11.811,15.642,12.34,16.891,0.599662874,0.350961539,0.048337321,-0.113129423
Anisoptera,277.302,363.7,37.994,36.661,38.185,37.317,8.996,12.277,9.652,12.848,0.591463415,0.357912649,0.016591488,-0.122136695
Anisoptera,265.843,320.821,38.037,35.518,38.418,36.026,8.954,11.176,9.546,11.811,0.579063361,0.228554642,0.045998452,-0.105373429
Anisoptera,299.904,385.164,38.756,37.444,38.926,38.375,9.313,12.361,10.202,13.631,0.557911909,0.194153337,0.019066673,-0.120361627
Anisoptera,298.383,390.003,39.92,38.291,40.174,38.968,9.525,12.446,10.351,13.695,0.593782929,0.219445953,0.036060677,-0.129341058
Anisoptera,305.492,380.292,38.82,37.825,38.862,38.439,9.652,12.34,10.499,12.954,0.616557734,0.265418502,0.018919586,-0.088699613
Anisoptera,310.644,395.809,39.582,37.846,40.153,38.608,9.927,12.848,10.732,13.907,0.568265683,0.235197368,0.030891706,-0.142751518
Anisoptera,363.835,447.039,45.403,42.757,45.847,43.688,9.927,12.679,10.668,13.335,0.621883657,0.25629845,0.031796783,-0.094404391
Anisoptera,340.524,425.267,43.582,41.233,43.688,41.889,9.652,12.467,10.456,13.568,0.568313954,0.222839818,0.022629073,-0.119259017
Anisoptera,305.65,390.755,41.042,38.777,41.36,39.455,9.229,12.15,9.97,13.335,0.604401228,0.227467811,0.029050489,-0.133923695
Anisoptera,355.886,439.955,42.863,42.376,43.603,42.63,10.118,12.51,10.859,13.716,0.565533981,0.19265144,0.01413456,-0.113738344
Anisoptera,401.184,532.252,46.863,45.149,46.927,46.715,11.155,14.245,11.959,15.431,0.50473613,0.312188491,0.043342861,-0.097733212
Anisoptera,463.108,587.41,49.742,48.514,50.017,50.186,11.938,14.817,12.425,16.171,0.594583157,0.322226909,0.019935009,-0.068756168
Anisoptera,450.56,595.87,50.017,48.662,50.419,50.334,11.282,14.499,12.023,15.812,0.550797649,0.203111859,0.020953567,-0.115160878
Anisoptera,481.467,610.463,51.71,48.662,52.112,50.271,11.663,15.261,12.383,16.277,0.529244517,0.277052632,0.023070847,-0.127160507
Anisoptera,319.864,421.707,42.397,41.19,42.99,42.355,9.589,12.383,10.054,13.589,0.63121615,0.284357821,0.058161105,-0.070834328
Anisoptera,427.371,554.956,47.392,45.572,48.281,46.313,11.43,14.563,12.34,15.96,0.594476107,0.29250457,0.054977724,-0.119212768
Anisoptera,382.361,500.176,45.276,43.307,45.805,44.746,10.795,13.653,11.282,15.007,0.618761553,0.293755913,0.052501956,-0.081222994
