coll_uniq_id,Collection Unique ID,Project Unique ID,Suborder,Family,Genus,Species,Species name,Sex,Wing Side,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (°),Tip angle HW (°),Scale calib factor (px/mm),Country,State,County,North America,Mexico,South America,Central America,Upload Date,Bisque Unique ID,WRK-WS ID,Collection,Scan Device,User,Notes,Filename,Bisque Image Link
28082,28082,UA-000202,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,M,right,349.821,463.877,43.138,42.122,43.371,43.244,10.181,13.208,10.901,14.224,0.569058077,0.279490945,0.037240254,-0.108867416,0.565048544,0.62202381,118.0079314,110.5561192,47.244,United States,Michigan,Oscoda,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:37:13,00-qFUJFdS9jA5AwarVgVfZF8,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000202.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-qFUJFdS9jA5AwarVgVfZF8
25887,25887,UA-000200,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,M,right,370.78,466.724,43.265,42.778,44.027,43.625,10.689,13.504,11.367,14.669,0.595673077,0.262493935,0.028090224,-0.098032697,0.594040968,0.649350649,119.2648602,109.2252632,47.244,United States,Maine,Penobscot,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:37:04,00-mqzZmtzcaGXoVAp9r4NVFH,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000200.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-mqzZmtzcaGXoVAp9r4NVFH
25802,25802,UA-000199,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,M,right,383.396,493.554,43.095,43.625,43.752,43.9,11.367,13.843,12.086,15.092,0.584421867,0.242526519,0.045128002,-0.128448521,0.628721541,0.640953717,117.33375,108.9665804,47.244,United States,Wisconsin,Bayfield,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:36:32,00-oHa5JC9PWBifQDoxvcuPqP,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000199.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-oHa5JC9PWBifQDoxvcuPqP
34291,34291,UA-000197,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,M,right,350.563,448.402,41.635,41.402,41.931,41.762,10.541,13.377,11.282,14.372,0.56133266,0.278256462,0.01988828,-0.138163675,0.602251407,0.655375552,113.9157455,106.7225273,47.244,Canada,Ontario,,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:36:25,00-3MJzUiVb8iPexYmkFXusV3,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000197.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-3MJzUiVb8iPexYmkFXusV3
33102,33102,UA-000198,Anisoptera,Aeshnidae,Aeshna,canadensis,Aeshna canadensis,M,right,360.083,463.915,43.095,42.058,43.201,42.757,10.435,13.589,11.134,14.563,0.594316512,0.253465347,0.017833291,-0.116205923,0.577946768,0.672965116,114.6651249,110.0590527,47.244,Canada,British Columbia,,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:35:59,00-CkUFQxcphzHaGhLypd9pNf,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000198.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-CkUFQxcphzHaGhLypd9pNf
33417,33417,UA-001219,Anisoptera,Aeshnidae,Aeshna,clepsydra,Aeshna clepsydra,M,right,324.022,420.124,41.635,40.09,41.741,40.534,9.821,12.637,10.351,13.674,0.581643002,0.274673629,0.033295382,-0.139354178,0.54396728,0.656346749,118.2225961,109.2264236,47.244,United States,Pennsylvania,Bradford,TRUE,FALSE,FALSE,FALSE,1/4/2018 20:32:51,00-NuxRwiEzHyHudkXyL2QjoM,None,UA,None,None,,UA-001219.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-NuxRwiEzHyHudkXyL2QjoM
21993,21993,UA-000943,Anisoptera,Aeshnidae,Aeshna,clepsydra,Aeshna clepsydra,M,right,354.738,456.87,42.905,43.011,43.328,43.519,10.287,13.145,11.049,14.161,0.549096238,0.277237354,0.022868778,-0.100507798,0.601532567,0.64573991,118.3093856,100.3452743,47.244,United States,New Jersey,Morris,TRUE,FALSE,FALSE,FALSE,12/13/2017 22:05:06,00-oax4jHX9vy2b6UcqLRPdw6,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000943.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-oax4jHX9vy2b6UcqLRPdw6
48086,48086,UA-000937,Anisoptera,Aeshnidae,Aeshna,clepsydra,Aeshna clepsydra,M,right,320.847,425.284,40.365,40.873,40.64,41.72,10.097,12.954,10.689,13.631,0.584375,0.215626586,0.036146594,-0.095920562,0.576237624,0.649068323,119.1148977,110.0219733,47.244,United States,Massachusetts,Barnstable,TRUE,FALSE,FALSE,FALSE,12/13/2017 20:51:26,00-LnCsLf4scsgCcVGd9UbzRQ,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000937.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-LnCsLf4scsgCcVGd9UbzRQ
28758,28758,UA-000936,Anisoptera,Aeshnidae,Aeshna,clepsydra,Aeshna clepsydra,M,right,359.555,465.612,42.651,41.571,42.778,42.884,10.541,13.737,11.24,14.753,0.56952004,0.243830207,0.018493983,-0.113372643,0.602636535,0.674318508,117.5195967,110.0938532,47.244,United States,New Hampshire,Rockingham,TRUE,FALSE,FALSE,FALSE,12/12/2017 22:59:06,00-KgpqfxToBTbEQzACRYyWwM,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000936.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-KgpqfxToBTbEQzACRYyWwM
33792,33792,UA-000205,Anisoptera,Aeshnidae,Aeshna,clepsydra,Aeshna clepsydra,M,right,316.149,408.258,39.709,39.18,40.365,39.815,9.991,12.531,10.647,13.483,0.560041951,0.257841574,0.028360517,-0.127677546,0.586481113,0.643642072,117.4756103,110.427366,47.244,United States,Pennsylvania,Bradford,TRUE,FALSE,FALSE,FALSE,9/21/2017 18:57:48,00-U7s4ipkXSocsBr623kNmL4,None,UA,JCA_epson_v700_1,Rutgers Student,,UA-000205.tif,https://bisque.cyverse.org/client_service/view?resource=https://bisque.cyverse.org/data_service/00-U7s4ipkXSocsBr623kNmL4
